"Date","Price","Open","High","Low","Vol.","Change %"
"09/24/2020","31,830.5","32,064.0","32,336.4","31,752.7","1.92M","-1.21%"
"09/25/2020","31,752.7","31,908.4","31,986.2","31,558.2","1.68M","-0.24%"
"09/28/2020","32,141.8","31,947.3","32,453.1","31,752.7","2.46M","1.23%"
"09/29/2020","31,636.0","32,297.5","32,647.7","31,597.1","2.54M","-1.57%"
"09/30/2020","31,752.7","31,674.9","31,830.5","31,519.2","1.17M","0.37%"
"10/01/2020","31,869.5","31,752.7","32,025.1","31,752.7","1.46M","0.37%"
"10/02/2020","31,636.0","31,908.4","32,258.6","29,962.7","2.21M","-0.73%"
"10/05/2020","31,441.4","31,908.4","31,908.4","31,285.8","1.97M","-0.62%"
"10/06/2020","31,480.3","31,558.2","31,752.7","31,363.6","1.90M","0.12%"
"10/07/2020","31,480.3","31,441.4","31,830.5","31,363.6","1.48M","0.00%"
"10/08/2020","31,441.4","31,597.1","31,636.0","30,974.5","2.38M","-0.12%"
"10/09/2020","31,402.5","31,363.6","31,519.2","31,207.9","1.07M","-0.12%"
